DISTRITO;PROVINCIA;ZONA;NOMBRE DE LA INSTITUCIÓN;SOSTENIMIENTO;MATRÍCULA EDUCACIÓN INICIAL (ALUMNOS DE 0-36 MESES);PENSIÓN EDUCACIÓN INICIAL (ALUMNOS DE 0-36 MESES);MATRÍCULA EDUCACIÓN INICIAL;PENSIÓN EDUCACIÓN INICIAL;MATRÍCULA EDUCACIÓN BASICA;PENSIÓN EDUCACIÓN BASICA;MATRÍCULA EDUCACIÓN BASICA SUPERIOR;PENSIÓN EDUCACIÓN BASICA SUPERIOR;MATRÍCULA BACHILLERATO;PENSIÓN BACHILLERATO;ESTADO;TELEFONO;SECTOR;DIRECCION;"TERAPIA DE LENGUAJE 
NOMBRE DE CONTACTO";"TERAPIA DE LENGUAJE 
CARGO CONTACTO";"TERAPIA DE LENGUAJE 
EMAIL";"TERAPIA DE LENGUAJE
PROCESO REALIZADO";"TERAPIA DE LENGUAJE
RESPONSABLE";"TERAPIA DE LENGUAJE
FECHA DE CONTACTO";"TL
GENERAL OBSERVACIONES";"TL
FECHA PROXIMO CONTACTO";"PSICOLOGIA
NOMBRE DE CONTACTO";"PSICOLOGIA
CARGO CONTACTO";"PSICOLOGIA
EMAIL";"PSICOLOGIA
PROCESO REALIZADO";"PSICOLOGIA
RESPONSABLE";"PSICOLOGIA
OBSERVACIÓN";"P
GENERAL OBSERVACIONES";"P
FECHA PROXIMO CONTACTO";"VYA
NOMBRE DE CONTACTO";"VYA
CARGO CONTACTO";"VYA
EMAIL";"VYA
PROCESO REALIZADO";"VYA
RESPONSABLE";"VYA
OBSERVACIÓN";"VYA
GENERAL OBSERVACIONES";"VYA
FECHA PROXIMO
 CONTACTO"
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JULIO MARIA MATOVELLE";PARTICULAR;;;;;55,08;88,13;55,08;88,13;57,93;92,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;JACQUES BOSSUET;PARTICULAR;;;82,12;131,39;82,12;131,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
ADVENTISTA CIUDAD DE QUITO";PARTICULAR;;;91,91;147,06;91,91;147,06;91,91;147,06;95,37;152,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
ADVENTISTA CIUDAD DE QUITO";PARTICULAR;;;91,92;147,06;91,92;147,06;91,92;147,06;95,37;152,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"COLEGIO PARTICULAR AMOR Y
ESPERANZA";PARTICULAR;;;37,50;60,00;37,50;60,00;37,50;60,00;37,50;60,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;SERGE RAYNAUD DE LA FERRIERE;PARTICULAR;;;73,20;117,13;74,94;119,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;UNIDAD EDUCATIVA LETORT;PARTICULAR;;;251;402;267;428;267;428;277;443;SEGUIMIENTO;981279464, 3260202, EXT. 106;NORTE UIO;De los Guayacanes E13-20;Dra. Carolina Pinzón, VANESSA PAOLA MINDA, KAREN ODALIS, ANDREA;RECTORA,DECE;jardinpepemary@letort.edu.ec;SE ENVIO EMAIL, ASE ACORDO UNA PRESENTACION VIA ZOOM PARA EL PROXIMO MARTES 18 DE MARZO;EMIRO;18/03/2025;SE REALIZO PRESENTACION VIA ZOOMM, CON BUENA ACOGIDA;14/04/2025;;;;;;;;;;;;;;;;
;;;Escuela Católica Manuel Tobar;;;;;;;;;;;;CONTACTADO;098 512 6137;NORTE UIO;RGH7+JC5, Quito 170135;ERIKA CHAVES;SERETARIA;;SE ENVIO WHATSAPP;EMIRO;18/03/2025;LLAMAR ;14/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;SAMAHEL;PARTICULAR;;;;;37,95;60,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;ATENEA;PARTICULAR;222,75;297,00;185,62;297,00;185,62;297,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;COLEGIO JOHANNES KEPLER;PARTICULAR;;;270;431;301;481;316;505;324;518;CONVENIO;02 3944 180;CUMBAYÁ;;;;;;PABLO;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JESSS";PARTICULAR;;;138,01;220,81;142,56;228,09;142,56;228,09;156,34;250,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JESSS";PARTICULAR;;;150,46;240,73;155,47;248,75;155,47;248,75;170,63;273,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JESSS";PARTICULAR;;;153,24;245,19;158,35;253,35;158,35;253,35;173,79;278,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
LICEO LOS ALAMOS";PARTICULAR;;;175;281;296;473;296;473;310;496;CONVENIO;;CUMBAYÁ;;;;;;PABLO;;;;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"INSTITUCION EDUCATIVA PARTICULAR FERNANDO ORTIZ
CRESPO";PARTICULAR;;;;;;;37,40;59,84;45,38;72,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CELESTIN FREINET;PARTICULAR;;;;;106,25;170,00;106,25;170,00;106,25;170,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA BILINGÜE
PARTICULAR CAMPO VERDE";PARTICULAR;;;378,21;605,13;396,41;634,26;396,41;634,26;396,41;634,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JEZREEL";PARTICULAR;;;175,41;280,64;205,70;329,12;205,70;329,12;206,90;331,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
JEZREEL";PARTICULAR;;;172,34;275,74;202,63;324,20;202,63;324,20;203,82;326,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO DE DESARROLLO INFANTIL
NORWAY";PARTICULAR;33,84;54,15;33,84;54,15;33,84;54,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
PCEI COMPUINFORMATICA";PARTICULAR;;;;;;;17,82;28,51;17,82;28,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;ACADEMIA COTOPAXI;PARTICULAR;;;1260,69;2017,11;1381,37;2210,20;1381,37;2210,20;1384,45;2215,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CENTRO EDUCATIVO ETIEVAN;PARTICULAR;;;187,14;299,42;187,14;299,42;187,14;299,42;187,14;299,42;CONTACTADO;(02) 240 3153 / 098 7722 209;NORTE UIO;Av. El Inca 45;;;rectorado@etievan.edu.ec;ENVIO DE CORREO;PAMELA;02/04/2025;LA RECTORA DEBE REVISAR Y SI LES INTERA SE COMUNICARA CON NOSOTROS;14/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA FISCOMISIONAL
PCEI DE PICHINCHA";FISCOMISIONAL;;;;;;;10,23;16,37;10,23;16,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;VASCONCELOS;PARTICULAR;;;69,17;110,69;58,13;92,99;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;VASCONCELOS;PARTICULAR;;;69,18;110,69;58,12;92,99;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUACION GENERAL
BASICA DR LUIGI GALVANI";PARTICULAR;;;122,64;196,22;122,64;196,22;;;;;CONTACTADO;2 505 093 2 521 254 2 525 975 098 332 1692;NORTE UIO;Bolivia OE8-11 y Eustorgio Salgado (Miraflores).;;;info@escuelaluigigalvani.edu.ec;ENVIO DE CORREO;PAMELA;02/04/2025;HACER SEGUIMIENTO;14/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;JAIME MOLA;PARTICULAR;;;;;140,98;225,57;140,98;225,57;140,98;225,57;RECHAZADO GENERAL;;;CONSERVATORIO DE MUSICA N/A;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;ALLIANCE ACADEMY SCHOOL;PARTICULAR;;;523;836;;;634;1014,68;634;1014,68;CONVENIO;;;;;;;;;;;;;;;;;;;;KATHERINE ;MEDICO;989059327;CARPETA, LLAMAR PARA SEGUIMIENTO;PAMELA;LLAMAR 10/03/2025;NO LES INTERESA, MEDICO OCUPACIONAL HACE TODO;07/04/2025
17D05;"SIERRA -
AMAZONIA";9;ISM ACADEMY QUITO;PARTICULAR;220,60;352,97;159,58;255,33;224,06;358,50;224,06;358,50;296,39;474,23;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;ISM ACADEMY QUITO;PARTICULAR;204,89;327,82;149,43;239,08;208,04;332,86;208,04;332,86;273,79;438,07;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;ISM ACADEMY QUITO;PARTICULAR;224,69;359,50;162,54;260,06;228,21;365,13;228,21;365,13;301,88;483,01;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;COLEGIO ALESSANDRO VOLTA;PARTICULAR;;;118,38;189,43;118,38;189,43;118,38;189,43;121,64;194,63;CONTACTADO;02 205 8311 099 552 5391 099 403 9578;CUMBAYÁ;ANTIGUA VIA A NAYON;;;info@colegiovolta.edu.ec;ENVIO DE CORREO;PAMELA;02/04/2025;HACER SEGUIMIENTO;14/04/2025;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"INSTITUCION EDUCATIVA
PARTICULAR A DISTANCIA PCEI ALFREDOO PAREJA DIEZCANSECO";PARTICULAR;;;;;;;34,03;54,45;34,03;54,45;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"INSTITUCION EDUCATIVA
PARTICULAR PACHACAMAC";PARTICULAR;161,99;215,98;134,99;215,98;60,03;96,05;;;;;CONTACTADO;098 239 0782;NORTE UIO;Bernardo de Legarda OE;;;cdi_luna@hotmail.com;ENVIO DE CORREO;PAMELA;02/04/2025;HACER SEGUIMIENTO;14/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO EDUCATIVO PARTICULAR
URIEL";PARTICULAR;;;56,75;90,80;;;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;EDUFANTASIA CIA LTDA;PARTICULAR;;;171,88;275,00;;;;;;;RECHAZADO GENERAL;;;YA NO EXISTE;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"ESCUELA DE EDUCACION BASICA
PARTICULAR NUEVO AMANECER";PARTICULAR;;;162,91;260,65;162,91;260,65;162,91;260,65;;;CONTACTADO;096 368 8993 ;NORTE UIO;De Los Cipreses N64-331;;;educacion@nuevoamancerquito.edu.ec;ENVIO DE CORREO;PAMELA;02/04/2025;HACER SEGUIMIENTO;14/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;BURBUJITA DEL SABER;PARTICULAR;203,72;271,63;169,77;271,63;;;;;;;RECHAZADO GENERAL;;;YA NO EXISTE;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO DE DESARROLLO INFANTIL 
PEQUE MUNDO";PARTICULAR;184,03;245,37;153,36;245,37;;;;;;;;098 634 2542;NORTE UIO;Servellón Urbina 148;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"CENTRO DE DESARROLLO INTEGRAL
PARA LA PRIMERA INFANCIA PARTICULAR PAPEL Y TINTA";PARTICULAR;170,27;227,03;129,00;206,40;;;;;;;CONTACTADO;098 406 7086;NORTE UIO;ALFONSO PEREIRA N41-46 ESQUINA Y JORGE DROM;;;papelytintauio@yahoo.com;ENVIO DE CORREO;PAMELA;02/04/2025;HACER SEGUIMIENTO;14/04/2025;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"CENTRO DE DESAROLLO INTEGRAL PARA LA PRIMERA INFANCIA TRAZOS
Y COLORES";PARTICULAR;;;180,08;288,12;;;;;;;CONTACTADO;(02) 244-9406;NORTE UIO;German Alemán German Alemán & Juan Ramirez, Quito;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"CENTRO DE DESAROLLO INTEGRAL PARA LA PRIMERA INFANCIA TRAZOS
Y COLORES";PARTICULAR;164,41;263,06;164,41;263,06;;;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"CENTRO DE DESARROLLO INFANTIL RINCON DE TRAVESURAS
BOSMEDIANO";PARTICULAR;226,88;302,50;189,06;302,50;;;;;;;CONTACTADO;098 4424 896 - 2 520 788 / 0984424896;NORTE UIO;Calle Francisco Andrade Marin E6-101 y Eloy Alfaro;LOURDES ARO;DIRECTORA;;LLAMADA;PAMELA;07/04/2025;LLAMAR A DIRECTORA;07/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"VICTORIA BILINGUAL CHRISTIAN
ACADEMY";PARTICULAR;;;269,61;431,38;283,80;454,08;283,80;454,08;287,21;459,54;;(02) 253-6116;NORTE UIO;Melchor de Valdez Oe9-240 y Martín Ochoa - Quito;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA BILINGUE
PARTICULAR INTISANA";PARTICULAR;;;;;461,81;738,89;461,81;738,89;466,31;746,10;;+593 96 300 1135;NORTE UIO;Av. Mariscal Sucre N46-33 y José Raygada;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
PCEI IBEROAMERICANO";PARTICULAR;;;;;;;30,10;48,16;30,10;49,16;;099 546 3854;SUR UIO;Av. José María Alemán (LA JOTA) y Bartolomé Solón, esquina, 3er piso, diagonal a los POLLOS DE LA JOTA ( SOLANDA),;;;tics@iberoamericano.edu.ec;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"INSTITUCION EDUCATIVA
PARTICULAR REY SABIO SALOMON";PARTICULAR;;;;;25,77;41,21;25,77;41,21;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"INSTITUCION EDUCATIVA
PARTICULAR REY SABIO SALOMON";PARTICULAR;;;;;25,31;40,49;25,31;40,49;25,31;40,49;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
SANTA MARIANA DE JESUS";PARTICULAR;;;59,70;96,29;67,55;108,08;80,72;129,15;82,75;132,40;;(02) 223-2545;NORTE UIO;Tamayo 21-140 entre Robles y Roca., Quito, Ecuador;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
PCEI CENTEBAD";PARTICULAR;;;;;;;30,70;49,12;30,70;49,12;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"UNIDAD
EDUCATIVA PARTICULAR PCEI GÁLATAS";PARTICULAR;;;;;;;56,94;75,92;59,93;79,91;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;NALEDSYEL;PARTICULAR;168,24;269,18;168,24;269,18;185,06;296,10;;;;;CONTACTADO;(02) 241-4366;NORTE UIO;Carlos Arcos &, De los Guayacanes;YADIRA GARCIA;DIRECTORA ENCARGADA;kinder_bluhen@hotmail.com;LLAMADA, ENVIO DE CORREO;PAMELA;07/04/2025;HACER SEGUIMIENTO;08/04/2025;;;;;;;;;;;;;;;;
;;;Colegio Séneca;;;;;;;;;;;;SEGUIMIENTO;02 2922 544/ 099  602  0034,  099 141 7062 / 099 612 8722;NORTE UIO;AV. MARISCAL SUCRE Y JUAN DIAZ;Maria Jose Jaramillo ext. 102, cel 099 602 0034, Magister Freddy Peñafiel, tel 0991417062;DECE;;SE REALIZO PRESENTACION;EMIRO;18/03/2025;LLAMAR ;;;;;;;;;;;;;;;;;
;;;Colegio Internacional SEK Los Valles;;;;;;;;;;;;SEGUIMIENTO;3566220 0991529102;CUMBAYÁ;Gral. Eloy Alfaro S8-48 y, Quito 170904;Paula Fierro, ;Preescolar, ext. 103;;SE REALIZO PRESENTACION;EMIRO;18/03/2025;LLAMAR ;;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"INSTITUCION EDUCATIVA POPULAR
PARTICULAR A DISTANCIA SOLIDARIDAD";PARTICULAR;;;;;;;17,19;27,50;17,19;27,50;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;COLEGIO DE ARTES FRANZ LISZT;PARTICULAR;;;;;;;;;125,97;201,55;RECHAZADO GENERAL;;;CONSERVATORIO DE MUSICA;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;Colegio San Gabriel Quito - Unidad Educativa;FISCOMISIONAL;;;;;014;023;014;023;014;023;SEGUIMIENTO;987287784;NORTE UIO;RG83+2MV, Av. América, Quito 170521;CRISTINA GOMEZ;DECE;http://www.csgabriel.edu.ec/;SE ENVIO WHATSAPP;EMIRO;18/03/2025;LLAMAR ;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;IRFEYAL EXTENSION SANTA EUFRASIA;FISCOMISIONAL;;;;;014;023;014;023;014;023;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"ACADEMIA MILITAR BORJA N3
CAVANIS";PARTICULAR;;;87,91;140,65;118,52;189,63;118,52;189,63;120,72;193,16;;(02)243 3825 / 09831 91544;NORTE UIO;Veracruz 433 y Av. República.;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"INSTITUCION EDUCATIVA
PARTICULAR PRINCIPE DE PAZ";PARTICULAR;31,25;50,00;71,88;115,00;71,88;115,00;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;ESENCIA SIGLO XXI;PARTICULAR;154,71;206,28;154,71;206,28;;;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI HORAS ALEGRES;PARTICULAR;234,54;312,72;215,00;344,00;;;;;;;SEGUIMIENTO;22891336 / 0998328849;CUMBAYÁ;Del Establo Lote 46, Quito 170902; Dana Carrasco;Directora;cdihorasalegres@gmail.com;COORDINAR CON DAYANARA ;PAMELA;25/03/2025;LES INTERESA PSICOLOGIA. ENVIAR DOCUMENTO SCREENING;07/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI HORAS ALEGRES;PARTICULAR;234,97;313,29;215,36;344,58;;;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
PARTICULAR;115;"CENTRO DE DESARROLLO INTEGRAL
PARA LA PRIMERA INFANCIA PARTICULAR TEJA LA CONEJA";115;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO DE DESARROLLO INTEGRAL
NEW GENERATION KIDS PLANET";PARTICULAR;196,88;262,50;164,06;262,50;;;;;;;;2540442 / 099 274 9087;NORTE UIO;Jorge Washington E8-64 y Leonidas Plaza Gutiérrez;;;info@kidsplanetuio.com;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI ROCOTIN;PARTICULAR;246;393;246;393;;;;;;;CONVENIO;(02) 256-8222 - 0995888084 - 099 924 4319;;;"Angie
SHIRMA";"Secretaria
Psicologa";;;EMIRO;;;;;;;;;;;;ANGIE;SECRETARIA;;CARPETA, LLAMAR PARA SEGUIMIENTO;PAMELA;LLAMAR 10/03/2025;;
17D05;"SIERRA -
AMAZONIA";9;CDI EVEREST SCHOOL;PARTICULAR;130,35;173,80;108,62;173,80;;;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO DE DESARROLLO INFANTIL
LITTLE PRESCHOOL";PARTICULAR;149,74;239,58;149,74;239,58;;;;;;;CONTACTADO;096 162 1778;NORTE UIO;PORTETE E11-78 Y GREGORIO MUNGA, EL BATAN;;;little.preschool@hotmail.com;CORREO ENVIADO;PAMELA;20/03/2025;HACER SEGUIMIENTO, NO CONTESTA;07/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO DE DESARROLLO INFANTIL
PEQUENAS IDEAS";PARTICULAR;195,00;312,00;172,06;275,30;;;;;;;RECHAZADO GENERAL;593987257125;NORTE UIO;ISLA SANTA FE N43-223 Y RIO COCA;;;;NO LES INTERESA;PAMELA;20/03/2025;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"EXPLORATION KIDS LEARNING
CENTER";PARTICULAR;;;236;378;;;;;;;CONVENIO;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI BILINGUE DE COLORES;PARTICULAR;175;280;128;204;;;;;;;CONVENIO;099 814 3540;;;DRA ALEXANDRA ZABALA;;;;EMIRO;;;;;;;;;;;;;;;;;;;
17D05;SIERRA - AMAZONIA;9;"CENTRO DE DESARROLLO INTEGRAL
PARA PRIMERA INFANCIA PLAY TIME 1";PARTICULAR;299,48;399,30;249,56;399,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"PARAISO INFANTIL BILINGUAL
PRESCHOOL";PARTICULAR;280,50;374,00;233,75;374,00;;;;;;;CONTACTADO;2407 500 / 2 405 654;NORTE UIO;ALELIES E15-44 Y GUAYACANES;;;info@paraisoinfantil.com.ec;CORREO ENVIADO;PAMELA;20/03/2025;NO ES EL NUMERO;31/03/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;MY HONEY;PARTICULAR;129,60;172,80;108,00;172,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI MUNDO DE PAPEL;PARTICULAR;288,03;460,84;288,03;460,84;;;;;;;CONTACTADO;02 241 4905 / 099 980 0122;NORTE UIO;DE LOS GUAYACANES N50-30 Y LOS ALAMOS;MARIA EUGENIA CORDOVA;;info@mundodepapel.com;CORREO ENVIADO;PAMELA;21/03/2025;HACER SEGUIMIENTO, NO CONTESTA;07/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI ENTRE CUENTOS Y HADAS;PARTICULAR;189,75;253,00;158,12;253,00;;;;;;;;099 252 5007;NORTE UIO;SANCHO DE LA CARRERAN38-11 Y VILLALENGUA;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO DE EDUCACION INICIAL MISS
TRAVESURITAS";PARTICULAR;;;60,08;96,12;;;;;;;;;;;;;;;PAMELA ;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI SPLATZ;PARTICULAR;154,27;205,70;128,56;205,70;;;;;;;;02 2 223 7506 / 099 970 8401;NORTE UIO;SAN INGNACIO E11-119 Y CORUÑA;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;DISNEY GARDEN;PARTICULAR;189,18;252,24;143,17;229,08;;;;;;;;099 947 0504;NORTE UIO;FRAY PEDRO GOSSEL N422-188 E HIDALGO DE PINTO;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"SMART KIDS PEQUEÑOS
INTELIGENTES";PARTICULAR;163,35;217,80;124,78;199,65;;;;;;;CONTACTADO;+593 98 405 6545;NORTE UIO;AV BRASIL N39-259 Y AGUSTIN AZKUNGA, QUITO TENIS;;;smartkids.tg@gmail.com;CORREO ENVIADO;PAMELA;04/04/2025;HACER SEGUIMIENTO;07/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI DISCOVER KIDS;PARTICULAR;99,27;132,36;82,72;132,36;;;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"UNIDAD EDUCATIVA PARTICULAR
PCEI GALATAS";PARTICULAR;;;;;;;25,73;41,16;25,73;41,16;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI MUNDO FANTASTICO;PARTICULAR;126,57;168,75;105,47;168,75;;;;;;;CONTACTADO;02 240 8906;NORTE UIO;HUMBERTO MARIN OE1-95 Y SANTIAGO VIDELA;;;cdimundofantastico2011@hotmail.com;CORREO ENVIADO;PAMELA;04/04/2025;HACER SEGUIMIENTO;07/04/2025;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;"CENTRO DE DESARROLLO INFANTIL
CAPULLITOS DEL FUTURO";PARTICULAR;;;82,50;132,00;;;;;;;;+593 98 439 7135;NORTE UIO;Francisco de la pita y segunda transversal Oe765, EL BOSQUE;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI MI PRIMER COLE;PARTICULAR;202,50;270,00;168,75;270,00;;;;;;;;098 420 1431;NORTE UIO;170104 Av Brasil, y, Quito;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI PEQUEÑA GENTE;PARTICULAR;195,00;260,00;162,50;260,00;;;;;;;;;;;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
17D05;"SIERRA -
AMAZONIA";9;CDI ESTRELLITAS DEL FUTURO;PARTICULAR;181,74;290,78;159,81;255,69;;;;;;;;098 391 8147;NORTE UIO;Ulloa N32-144 y, Av. Atahualpa;;;;;PAMELA;;;;;;;;;;;;;;;;;;;
